"SN","MOVIES","VOTES","RATING","GROSS"
"372","Muscle Shoals","3695","7.8","700000"
"373","The Carer","1321","6.6","10000"
"374","I'm Reed Fish","4283","5.7","0"
"375","The Hunting Ground","6072","7.4","410000"
"376","Somm","4536","7.1","170000"
"377","Howl","12757","6.7","620000"
"378","Kevin Hart: What Now?","9154","5.9","23590000"
"379","Aala Kaf Ifrit","1912","7","10000"
"380","Interior. Leather Bar.","2472","5.1","40000"
"381","The Puffy Chair","4978","6.5","190000"
"382","Jonah: A VeggieTales Movie","4038","6.5","25580000"
"383","Be Here Now","3288","8.6","20000"
"384","Wilbur Wants to Kill Himself","7724","6.8","230000"
"385","The Trial","1462","5.6","20000"
"386","Grandmaster","2034","7","20000"
"387","The Devil and Father Amorth","2202","4.6","20000"
"388","Requiem for the American Dream","9193","8.1","130000"
"389","Particle Fever","7271","7.4","870000"
"390","Money","2806","5.5","1020000"
"391","Sufat Chol","3310","6.8","80000"
"392","Chiisana eiyû: Kani to tamago to tômei ningen","2308","6.6","180000"
"393","Undefeated","6897","7.7","560000"
"394","Papa Hemingway in Cuba","1450","6.3","1120000"
"395","Ethan Frome","2056","6.2","300000"
"396","LUV","2136","6","140000"
"397","Touchy Feely","3615","5.3","40000"
"398","Generation Iron","7715","7.1","850000"
"399","Sleep, My Love","1631","6.8","1800000"
"400","Bethany Hamilton: Unstoppable","619","7.4","590000"
"401","Bettie Page Reveals All","1459","7.1","100000"
"402","The Short Game","1439","7.3","40000"
"403","Al midan","8795","8.1","120000"
"404","Supermensch: The Legend of Shep Gordon","3218","7.4","210000"
"405","Nanking","3416","7.6","160000"
"406","Praia do Futuro","2939","6.4","20000"
"407","Morris from America","5201","6.2","90000"
"408","Orgasm Inc.","535","5.9","50000"
"409","Peter and the Farm","713","7.1","20000"
"410","Yosemite","830","4.8","10000"
"411","I Called Him Morgan","1649","7.3","100000"
"412","The Fluffy Movie: Unity Through Laughter","3726","7.3","2830000"
"413","King's Faith","744","6.4","90000"
"414","The Sunshine Makers","1344","7","10000"
"415","Alive Inside","3058","8.2","150000"
"416","Gimme the Loot","2461","6.6","100000"
"417","Kevin Hart: Let Me Explain","8731","6.8","32240000"
"418","The Overnighters","2386","7.4","110000"
"419","Video Games: The Movie","5421","6.1","20000"
"420","War of the Worlds: Goliath","1134","5.4","10000"
"421","The Bad Kids","612","7","0"
"422","Good Ol' Freda","1930","7.3","140000"
"423","The Music of Strangers","696","7.7","1160000"
"424","Life's a Breeze","1103","6.3","0"
"425","The Reconstruction of William Zero","1147","5.4","0"
"426","Dayveon","501","6.3","0"
"427","Green is Gold","945","6","0"
"428","The Final Year","3191","6.4","190000"
"429","Pandora's Promise","1858","7.4","70000"
"430","Revenge of the Electric Car","1808","7.2","150000"
"431","Being Elmo: A Puppeteer's Journey","6897","7.6","300000"
"432","Meet the Mormons","1973","6.8","5880000"
"433","Dear Mr. Watterson","1834","6.4","10000"
"434","An Act of War","1422","5.2","110000"
"435","Hell and Back Again","2236","6.5","40000"
"436","The Waiting Room","785","7.1","240000"
"437","Blood Brother","1618","8.3","120000"
"438","GMO OMG","1445","6.4","40000"
"439","Spark: A Burning Man Story","562","6.2","120000"
"440","The Comedians of Comedy","2558","7.3","0"
"441","Sunrise","279","6.3","0"
"442","The Search for General Tso","1726","6.9","10000"
"443","The Garden","716","7.3","30000"
"444","Gore Vidal: The United States of Amnesia","1243","7.7","130000"
"445","Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders","2181","7.2","60000"
"446","After Tiller","1046","7.4","70000"
"447","Red Trees","136","6.4","10000"
"448","Big Words","277","5.9","10000"
"449","Roving Mars","1022","7.3","10400000"
"450","Making the Boys","579","7.3","30000"
"451","God Loves Uganda","1179","7.4","50000"
"452","Restless Creature: Wendy Whelan","361","7.1","130000"
"453","Danny Says","779","6.7","40000"
"454","Facing Darkness","88","7.3","560000"
"455","Louder Than a Bomb","373","7.5","40000"
"456","Vidal Sassoon: The Movie","245","6.5","90000"
"457","Men at Lunch","331","6.3","0"
"458","Decoding Deepak","124","5.5","10000"
"459","Theo Who Lived","111","6.8","10000"
"460","Southern Justice","126","3.1","140000"
